po_line_id,supplier_id,supplier_country,category,order_date,ack_date,promised_date,requested_lead_time_days,quantity,unit_price,total_value,incoterms,shipping_mode,destination_region,payment_terms_days,is_rush_order,price_dev_from_supplier_avg,supplier_open_po_count,supplier_on_time_rate_trailing365,supplier_mean_delay_trailing365,supplier_n_orders_trailing365,actual_delivery_date,delay_days,is_late
PO-0023896,SUP-0011,VN,MRO,2025-03-21,2025-03-22,2025-03-31,9,485,215.33,104436.52,DDP,Air,EU-East,30,0,0.635,2,0.7642276422764227,0.22764227642276422,123,2025-03-29,-2,0
PO-0015100,SUP-0117,MX,MRO,2023-09-20,2023-09-23,2023-10-01,8,95,186.58,17725.55,FOB,Rail,EU-West,30,0,0.414,1,0.9555555555555556,-0.35555555555555557,90,2023-10-03,2,1
PO-0007117,SUP-0056,VN,Raw Materials,2025-03-07,2025-03-09,2025-03-23,14,397,23.01,9134.83,DDP,Rail,NA-West,45,0,-0.266,2,0.7961165048543689,4.941747572815534,103,2025-04-03,11,1
PO-0016764,SUP-0024,VN,Custom Fabrication,2023-04-27,2023-04-28,2023-06-06,39,445,2362.68,1051391.32,EXW,Sea,EU-West,30,0,1.867,19,0.736842105263158,2.5789473684210527,19,2023-06-12,6,1
PO-0016869,SUP-0131,DE,MRO,2025-06-08,2025-06-11,2025-06-15,4,385,51.11,19677.77,DDP,Road,APAC,90,1,-1.299,1,0.8288288288288288,0.4954954954954955,111,2025-06-15,0,0
PO-0014816,SUP-0089,VN,Custom Fabrication,2023-01-01,2023-01-04,2023-03-02,57,200,1782.48,356496.31,FOB,Rail,EU-East,90,0,0.0,1,,,0,2023-02-28,-2,0
PO-0013838,SUP-0070,DE,Packaging,2023-03-29,2023-03-30,2023-04-13,14,274,8.38,2295.38,EXW,Rail,NA-East,45,0,-0.279,1,0.6521739130434783,0.6521739130434783,23,2023-04-12,-1,0
PO-0016007,SUP-0122,IN,MRO,2023-05-02,2023-05-02,2023-05-09,7,146,157.12,22938.85,EXW,Sea,EU-East,30,0,0.014,3,0.8918918918918919,-0.2972972972972973,37,2023-05-08,-1,0
PO-0021936,SUP-0133,BR,Custom Fabrication,2023-04-14,2023-04-16,2023-05-25,39,81,1503.54,121786.56,EXW,Air,LATAM,45,0,0.726,7,0.8461538461538461,-1.6923076923076923,13,2023-05-22,-3,0
PO-0003473,SUP-0060,PL,Electronics,2023-11-04,2023-11-05,2023-12-01,26,259,578.8,149910.09,FOB,Sea,LATAM,60,0,2.2,6,0.5740740740740741,2.611111111111111,54,2023-12-01,0,0
PO-0006112,SUP-0136,PL,Custom Fabrication,2025-06-03,2025-06-03,2025-07-25,52,364,132.56,48251.12,FOB,Air,EU-West,60,0,-1.506,12,0.95,-4.4,100,2025-07-23,-2,0
PO-0012485,SUP-0049,CN,Chemicals,2023-01-12,2023-01-15,2023-02-16,32,403,74.85,30164.72,DDP,Sea,LATAM,90,0,1.046,4,,,0,2023-02-09,-7,0
PO-0008545,SUP-0012,PL,MRO,2025-05-07,2025-05-10,2025-05-17,7,274,227.44,62318.64,DDP,Rail,NA-West,30,0,0.784,0,0.8974358974358975,-0.358974358974359,117,2025-05-17,0,0
PO-0033123,SUP-0009,MX,Custom Fabrication,2025-04-08,2025-04-10,2025-06-10,61,34,727.52,24735.73,DDP,Air,EU-East,45,0,-0.498,10,0.6266666666666667,-1.9733333333333334,75,2025-06-09,-1,0
PO-0019395,SUP-0093,DE,Raw Materials,2025-06-05,2025-06-07,2025-06-26,19,207,14.47,2994.66,FOB,Air,NA-West,60,0,-0.784,5,0.9038461538461539,-0.19230769230769232,104,2025-06-24,-2,0
PO-0039848,SUP-0112,DE,Chemicals,2025-03-02,2025-03-05,2025-03-17,12,341,44.12,15043.91,EXW,Sea,EU-West,60,0,-0.326,4,0.7948717948717949,2.08974358974359,78,2025-03-26,9,1
PO-0013403,SUP-0070,DE,Packaging,2023-06-04,2023-06-05,2023-06-17,12,388,8.03,3117.03,DDP,Sea,NA-West,30,0,-0.313,2,0.7,0.26666666666666666,30,2023-06-19,2,1
PO-0024842,SUP-0089,VN,Custom Fabrication,2023-11-11,2023-11-13,2024-01-08,56,63,449.57,28322.95,CIF,Air,NA-West,45,0,-1.035,14,0.7236842105263157,1.9605263157894737,76,2023-12-30,-9,0
PO-0018054,SUP-0124,CN,MRO,2024-08-29,2024-09-01,2024-09-09,8,120,67.31,8077.45,EXW,Sea,APAC,90,0,-0.858,2,0.7798165137614679,0.926605504587156,109,2024-09-07,-2,0
PO-0038772,SUP-0062,BR,Electronics,2024-07-31,2024-08-01,2024-08-21,20,303,301.75,91429.54,DDP,Road,APAC,90,0,0.276,5,0.9176470588235294,-1.6941176470588235,85,2024-08-16,-5,0
PO-0001690,SUP-0085,VN,Chemicals,2025-06-13,2025-06-15,2025-07-03,18,406,14.13,5736.98,DDP,Rail,EU-West,60,0,-1.164,2,0.8247422680412371,3.0618556701030926,97,2025-07-14,11,1
PO-0016308,SUP-0045,VN,MRO,2024-02-26,2024-02-28,2024-03-07,8,381,152.95,58272.31,CIF,Air,NA-West,45,0,-0.037,1,0.9495798319327731,0.07563025210084033,119,2024-03-07,0,0
PO-0026398,SUP-0130,US,Electronics,2023-01-16,2023-01-18,2023-02-11,24,43,91.4,3930.22,DDP,Rail,APAC,90,0,-1.96,2,,,0,2023-02-09,-2,0
PO-0008199,SUP-0134,CN,Electronics,2023-12-09,2023-12-10,2024-01-05,26,450,151.4,68130.28,DDP,Road,APAC,45,0,-0.739,2,0.855072463768116,-0.8405797101449275,69,2024-01-02,-3,0
PO-0008675,SUP-0021,PL,MRO,2024-06-25,2024-06-27,2024-07-07,10,201,230.47,46325.13,EXW,Sea,EU-East,30,0,0.736,2,0.8585858585858586,0.16161616161616163,99,2024-07-06,-1,0
PO-0027105,SUP-0131,DE,MRO,2024-01-18,2024-01-18,2024-01-23,5,488,32.34,15781.22,FOB,Air,EU-East,45,0,-1.418,1,0.8556701030927836,0.31958762886597936,97,2024-01-23,0,0
PO-0013385,SUP-0135,PL,MRO,2023-02-17,2023-02-17,2023-02-21,4,210,150.59,31624.1,CIF,Air,EU-West,45,1,0.201,1,0.8461538461538461,1.0,13,2023-02-21,0,0
PO-0032685,SUP-0097,IN,Electronics,2023-12-24,2023-12-26,2024-01-15,20,44,321.58,14149.58,DDP,Road,APAC,30,0,0.422,1,0.8767123287671232,1.2054794520547945,73,2024-01-14,-1,0
PO-0003427,SUP-0110,DE,Custom Fabrication,2024-01-14,2024-01-15,2024-02-14,30,132,1824.56,240842.35,EXW,Road,APAC,45,0,1.088,17,0.6533333333333333,0.6133333333333333,75,2024-02-09,-5,0
PO-0017286,SUP-0145,CN,Custom Fabrication,2025-06-12,2025-06-14,2025-07-30,46,110,488.5,53734.94,FOB,Rail,APAC,45,0,-0.958,12,0.6354166666666667,4.333333333333333,96,2025-09-05,37,1
PO-0011890,SUP-0114,BR,Electronics,2023-12-08,2023-12-11,2024-01-03,23,114,105.19,11991.61,DDP,Sea,EU-East,60,0,-1.152,5,0.7868852459016393,-0.16393442622950818,61,2024-01-01,-2,0
PO-0005481,SUP-0015,BR,Packaging,2023-06-26,2023-06-29,2023-07-07,8,41,9.22,377.96,DDP,Road,EU-East,90,0,-0.189,1,0.7727272727272727,1.0,44,2023-07-16,9,1
PO-0007693,SUP-0070,DE,Packaging,2025-05-31,2025-06-02,2025-06-15,13,148,4.91,726.33,EXW,Rail,EU-West,60,0,-0.896,1,0.7126436781609196,0.5862068965517241,87,2025-06-15,0,0
PO-0002864,SUP-0109,MX,Custom Fabrication,2023-01-14,2023-01-14,2023-03-05,50,173,99.78,17262.75,DDP,Rail,NA-East,30,0,-1.95,2,,,0,2023-02-28,-5,0
PO-0034561,SUP-0101,MX,Raw Materials,2024-11-13,2024-11-15,2024-12-07,22,271,41.26,11181.56,EXW,Road,EU-West,90,0,1.054,3,0.7909090909090909,0.5272727272727272,110,2024-12-02,-5,0
PO-0018329,SUP-0105,MX,Packaging,2024-01-25,2024-01-26,2024-02-07,12,259,5.62,1455.55,FOB,Rail,NA-West,60,0,-0.718,7,0.7093023255813953,5.127906976744186,86,2024-02-06,-1,0
PO-0028406,SUP-0027,PL,Electronics,2023-08-20,2023-08-21,2023-09-16,26,24,284.93,6838.4,EXW,Air,APAC,90,0,0.061,4,0.7708333333333334,0.6041666666666666,48,2023-09-20,4,1
PO-0004227,SUP-0099,IN,Chemicals,2025-05-26,2025-05-26,2025-06-12,17,67,86.82,5816.86,EXW,Rail,NA-West,90,0,0.964,1,0.7216494845360825,2.752577319587629,97,2025-06-18,6,1
PO-0026690,SUP-0004,PL,Packaging,2024-09-12,2024-09-13,2024-09-21,8,383,13.26,5080.48,FOB,Air,EU-West,90,0,0.48,1,0.88,0.06666666666666667,75,2024-09-21,0,0
PO-0024742,SUP-0093,DE,Raw Materials,2024-03-11,2024-03-14,2024-03-26,12,480,31.65,15190.72,DDP,Rail,NA-East,90,0,0.289,4,0.9357798165137614,-1.0458715596330275,109,2024-03-25,-1,0
PO-0027512,SUP-0120,CN,Chemicals,2023-10-24,2023-10-24,2023-11-14,21,17,97.54,1658.22,FOB,Road,NA-East,60,0,1.22,5,0.6764705882352942,7.955882352941177,68,2023-11-09,-5,0
PO-0036122,SUP-0116,VN,MRO,2023-10-22,2023-10-22,2023-10-29,7,444,103.51,45959.74,EXW,Road,EU-West,90,0,-0.478,2,0.8148148148148149,0.5061728395061729,81,2023-10-29,0,0
PO-0001003,SUP-0042,DE,Raw Materials,2023-10-26,2023-10-27,2023-11-14,18,490,43.75,21435.15,EXW,Sea,NA-East,45,0,1.238,2,0.8390804597701149,-0.10344827586206896,87,2023-11-10,-4,0
PO-0002872,SUP-0106,IN,Chemicals,2023-12-07,2023-12-08,2023-12-27,19,81,76.07,6161.33,DDP,Air,NA-East,60,0,0.634,2,0.8205128205128205,-0.16666666666666666,78,2023-12-24,-3,0
PO-0006127,SUP-0113,VN,Chemicals,2023-11-30,2023-12-02,2023-12-20,18,415,26.82,11130.37,CIF,Rail,NA-East,90,0,-0.559,2,0.6741573033707865,1.4157303370786516,89,2023-12-17,-3,0
PO-0013496,SUP-0128,DE,Chemicals,2025-02-18,2025-02-20,2025-03-08,16,428,32.24,13798.77,CIF,Rail,NA-West,30,0,-0.649,3,0.4878048780487805,6.365853658536586,82,2025-03-09,1,1
PO-0033647,SUP-0022,DE,Electronics,2025-06-05,2025-06-06,2025-07-03,27,89,66.06,5879.45,FOB,Rail,LATAM,60,0,-1.314,5,0.7567567567567568,-0.06756756756756757,74,2025-07-08,5,1
PO-0033810,SUP-0110,DE,Custom Fabrication,2023-02-17,2023-02-17,2023-03-29,40,361,1787.32,645224.02,EXW,Sea,LATAM,90,0,0.604,10,,,0,2023-03-20,-9,0
PO-0012797,SUP-0008,PL,Packaging,2025-02-09,2025-02-10,2025-02-20,10,221,4.47,987.13,FOB,Air,EU-East,30,0,-0.865,1,0.8783783783783784,0.1891891891891892,74,2025-02-19,-1,0
PO-0004058,SUP-0117,MX,MRO,2023-03-30,2023-04-01,2023-04-10,9,236,96.57,22790.57,EXW,Air,EU-East,60,0,-0.598,2,0.9117647058823529,-0.23529411764705882,34,2023-04-10,0,0
PO-0001043,SUP-0050,IN,MRO,2024-01-20,2024-01-22,2024-01-31,9,157,36.94,5800.36,DDP,Rail,EU-West,60,0,-1.478,0,0.822429906542056,0.2616822429906542,107,2024-01-29,-2,0
PO-0037640,SUP-0128,DE,Chemicals,2025-06-06,2025-06-07,2025-06-24,17,344,37.87,13026.86,FOB,Rail,NA-East,90,0,-0.452,0,0.5494505494505495,4.406593406593407,91,2025-06-30,6,1
PO-0003920,SUP-0060,PL,Electronics,2023-02-22,2023-02-24,2023-03-21,25,67,59.31,3973.63,CIF,Rail,EU-West,90,0,-1.905,1,0.6666666666666667,3.3333333333333335,3,2023-03-18,-3,0
PO-0016823,SUP-0140,CN,Raw Materials,2024-01-06,2024-01-08,2024-01-25,17,175,10.66,1865.08,EXW,Sea,LATAM,30,0,-0.932,0,0.8415841584158416,1.4455445544554455,101,2024-02-02,8,1
PO-0015484,SUP-0136,PL,Custom Fabrication,2024-08-16,2024-08-17,2024-10-07,51,96,1882.64,180733.38,DDP,Rail,LATAM,60,0,1.265,11,0.9213483146067416,-3.808988764044944,89,2024-10-07,0,0
PO-0018584,SUP-0049,CN,Chemicals,2023-02-01,2023-02-04,2023-02-27,23,214,26.49,5669.25,EXW,Air,EU-West,90,0,-1.077,3,1.0,-2.4,5,2023-02-26,-1,0
PO-0007653,SUP-0125,CN,Packaging,2024-01-06,2024-01-07,2024-01-20,13,248,8.66,2146.74,FOB,Rail,EU-West,30,0,-0.176,2,0.9207920792079208,0.10891089108910891,101,2024-01-17,-3,0
PO-0036592,SUP-0140,CN,Raw Materials,2023-07-15,2023-07-15,2023-07-30,15,180,34.58,6224.25,CIF,Sea,LATAM,45,0,0.618,4,0.7924528301886793,1.9433962264150944,53,2023-07-30,0,0
PO-0036214,SUP-0131,DE,MRO,2025-05-12,2025-05-12,2025-05-16,4,459,178.75,82046.41,CIF,Road,APAC,30,1,0.154,3,0.8288288288288288,0.5225225225225225,111,2025-05-15,-1,0
PO-0034868,SUP-0124,CN,MRO,2023-04-27,2023-04-29,2023-05-03,4,83,218.25,18115.02,CIF,Rail,EU-West,60,1,0.836,5,0.775,0.9,40,2023-05-02,-1,0
PO-0011134,SUP-0146,DE,MRO,2023-03-11,2023-03-12,2023-03-19,7,138,121.2,16726.09,EXW,Road,EU-East,30,0,-0.683,3,0.8421052631578947,-0.3684210526315789,19,2023-03-18,-1,0
PO-0036559,SUP-0068,VN,Raw Materials,2023-10-21,2023-10-23,2023-11-02,10,214,22.51,4817.72,CIF,Road,LATAM,60,0,0.053,2,0.8461538461538461,-0.5,78,2023-11-06,4,1
PO-0002923,SUP-0048,PL,Custom Fabrication,2023-10-26,2023-10-29,2023-11-17,19,361,1971.6,711747.42,DDP,Road,EU-East,90,1,1.542,15,0.8529411764705882,-2.5441176470588234,68,2023-11-13,-4,0
PO-0037794,SUP-0137,VN,MRO,2024-01-07,2024-01-10,2024-01-16,6,158,217.84,34418.73,FOB,Rail,EU-West,90,0,0.625,3,0.7843137254901961,0.6274509803921569,102,2024-01-21,5,1
PO-0039713,SUP-0045,VN,MRO,2023-10-26,2023-10-27,2023-11-05,9,160,68.1,10895.58,EXW,Sea,NA-East,45,0,-1.016,2,0.9534883720930233,-0.16279069767441862,86,2023-11-03,-2,0
PO-0013195,SUP-0037,IN,Raw Materials,2024-07-17,2024-07-18,2024-07-30,12,94,29.08,2733.91,DDP,Rail,NA-East,60,0,0.181,2,0.8369565217391304,-0.29347826086956524,92,2024-07-30,0,0
PO-0010103,SUP-0101,MX,Raw Materials,2025-05-15,2025-05-17,2025-05-30,13,279,6.85,1910.39,EXW,Rail,NA-East,30,0,-1.323,1,0.7652173913043478,0.5304347826086957,115,2025-05-27,-3,0
PO-0014401,SUP-0080,DE,Raw Materials,2023-07-20,2023-07-20,2023-07-25,5,421,29.64,12476.84,CIF,Road,EU-West,30,1,0.317,1,0.8103448275862069,0.2413793103448276,58,2023-07-25,0,0
PO-0011331,SUP-0003,US,Raw Materials,2023-02-03,2023-02-05,2023-02-14,9,340,15.86,5391.27,DDP,Air,EU-East,90,1,-0.538,6,0.8571428571428572,-0.2857142857142857,7,2023-02-17,3,1
PO-0002774,SUP-0126,VN,Custom Fabrication,2023-03-30,2023-04-02,2023-04-29,27,49,1758.32,86157.67,DDP,Rail,LATAM,60,1,1.248,17,0.9166666666666666,-1.8333333333333333,12,2023-08-10,103,1
PO-0035034,SUP-0066,CN,Raw Materials,2023-10-30,2023-10-30,2023-11-12,13,491,45.64,22409.94,EXW,Road,LATAM,30,0,1.488,1,0.7857142857142857,0.6071428571428571,56,2023-11-11,-1,0
PO-0003981,SUP-0026,US,Packaging,2023-02-04,2023-02-05,2023-02-15,10,14,8.12,113.72,CIF,Sea,LATAM,30,0,-0.143,0,0.8,2.6,5,2023-02-13,-2,0
PO-0024512,SUP-0030,CN,MRO,2023-02-09,2023-02-10,2023-02-19,9,350,244.96,85736.24,CIF,Air,NA-West,60,0,0.203,2,0.8,2.8,5,2023-02-17,-2,0
PO-0003348,SUP-0019,VN,MRO,2023-08-17,2023-08-17,2023-08-23,6,285,210.73,60059.36,EXW,Air,NA-East,90,0,0.653,0,0.7586206896551724,0.3103448275862069,58,2023-08-28,5,1
PO-0012157,SUP-0029,BR,Chemicals,2023-12-25,2023-12-28,2024-01-16,19,465,59.07,27468.75,FOB,Rail,EU-West,60,0,0.12,6,0.6753246753246753,0.5714285714285714,77,2024-01-12,-4,0
PO-0032693,SUP-0048,PL,Custom Fabrication,2023-03-11,2023-03-11,2023-04-21,41,174,1521.59,264755.81,FOB,Rail,EU-West,30,0,0.801,14,1.0,-3.857142857142857,7,2023-04-18,-3,0
PO-0036252,SUP-0067,CN,Custom Fabrication,2025-03-19,2025-03-22,2025-05-17,56,426,1072.21,456759.42,DDP,Road,EU-West,60,0,-0.036,17,0.7835051546391752,-2.8762886597938144,97,2025-05-06,-11,0
PO-0003582,SUP-0081,MX,Chemicals,2023-02-18,2023-02-21,2023-03-12,19,287,63.93,18346.83,DDP,Air,NA-East,60,0,0.538,5,0.9090909090909091,-0.8181818181818182,11,2023-03-09,-3,0
PO-0009824,SUP-0052,MX,Custom Fabrication,2023-11-03,2023-11-05,2023-12-31,56,342,958.9,327943.37,CIF,Sea,LATAM,60,0,-0.142,11,0.49275362318840576,10.347826086956522,69,2023-12-27,-4,0
PO-0036218,SUP-0072,MX,Packaging,2023-12-25,2023-12-25,2024-01-04,10,463,11.37,5263.16,FOB,Rail,NA-West,90,0,0.172,2,0.8717948717948718,0.6538461538461539,78,2024-01-10,6,1
PO-0015032,SUP-0022,DE,Electronics,2025-05-11,2025-05-14,2025-06-10,27,143,389.41,55685.66,CIF,Rail,LATAM,45,0,0.673,3,0.76,-0.06666666666666667,75,2025-06-10,0,0
PO-0003464,SUP-0038,CN,Custom Fabrication,2023-02-03,2023-02-03,2023-03-02,27,302,1789.29,540365.1,FOB,Sea,EU-West,45,1,1.094,7,,,0,2023-03-11,9,1
PO-0001352,SUP-0114,BR,Electronics,2023-01-21,2023-01-21,2023-02-11,21,283,173.91,49217.36,CIF,Air,APAC,90,0,-0.643,3,1.0,-2.0,2,2023-02-06,-5,0
PO-0038775,SUP-0009,MX,Custom Fabrication,2025-05-01,2025-05-04,2025-06-17,44,29,82.78,2400.6,DDP,Air,LATAM,90,0,-1.633,15,0.6388888888888888,-1.9583333333333333,72,2025-06-11,-6,0
PO-0002487,SUP-0021,PL,MRO,2024-02-02,2024-02-05,2024-02-13,8,290,64.79,18789.58,DDP,Road,EU-East,45,0,-1.081,2,0.8602150537634409,0.17204301075268819,93,2024-02-11,-2,0
PO-0024465,SUP-0029,BR,Chemicals,2023-10-26,2023-10-28,2023-11-18,21,7,32.42,226.92,CIF,Air,EU-East,30,0,-0.852,10,0.6,1.52,50,2023-11-14,-4,0
PO-0000406,SUP-0102,BR,Chemicals,2023-05-18,2023-05-19,2023-06-03,15,61,71.59,4367.21,CIF,Sea,EU-West,90,0,0.605,7,0.9545454545454546,-0.5,22,2023-06-03,0,0
PO-0003073,SUP-0113,VN,Chemicals,2023-09-26,2023-09-26,2023-10-16,20,192,50.19,9637.18,CIF,Air,APAC,60,0,0.179,6,0.6825396825396826,1.4126984126984128,63,2023-10-15,-1,0
PO-0009070,SUP-0140,CN,Raw Materials,2023-03-10,2023-03-10,2023-03-23,13,314,10.35,3250.55,DDP,Rail,EU-West,30,0,-0.882,6,0.8421052631578947,0.9473684210526315,19,2023-03-27,4,1
PO-0038185,SUP-0095,MX,Electronics,2023-08-25,2023-08-27,2023-09-19,23,35,443.69,15529.13,DDP,Rail,NA-East,60,0,1.32,5,0.7391304347826086,1.0,46,2023-09-16,-3,0
PO-0038090,SUP-0107,DE,Packaging,2023-10-28,2023-10-29,2023-11-13,15,70,9.37,655.92,CIF,Road,EU-East,30,0,-0.035,1,0.8666666666666667,0.49333333333333335,75,2023-11-12,-1,0
PO-0025169,SUP-0110,DE,Custom Fabrication,2023-12-03,2023-12-03,2024-01-23,51,199,1036.17,206198.8,EXW,Sea,NA-East,90,0,-0.156,12,0.6716417910447761,0.029850746268656716,67,2024-01-17,-6,0
PO-0012928,SUP-0001,DE,Electronics,2025-01-08,2025-01-08,2025-01-28,20,11,61.77,679.42,CIF,Air,EU-East,30,0,-1.353,5,0.8225806451612903,-0.41935483870967744,62,2025-02-04,7,1
PO-0022139,SUP-0130,US,Electronics,2024-08-01,2024-08-04,2024-08-26,22,227,119.47,27119.73,EXW,Rail,NA-East,90,0,-0.878,6,0.7076923076923076,-0.12307692307692308,65,2024-08-24,-2,0
PO-0006132,SUP-0133,BR,Custom Fabrication,2023-01-30,2023-02-01,2023-03-17,44,403,256.71,103452.35,DDP,Sea,NA-West,45,0,-1.279,5,,,0,2023-04-24,38,1
PO-0036313,SUP-0030,CN,MRO,2023-01-09,2023-01-09,2023-01-17,8,99,180.75,17894.06,CIF,Sea,NA-West,90,0,-0.043,1,,,0,2023-01-15,-2,0
PO-0021315,SUP-0118,BR,Packaging,2023-04-25,2023-04-25,2023-05-07,12,221,21.43,4736.38,CIF,Road,EU-East,30,0,1.817,2,0.9166666666666666,-0.625,24,2023-05-06,-1,0
PO-0034786,SUP-0101,MX,Raw Materials,2024-08-15,2024-08-15,2024-08-25,10,296,20.95,6200.19,FOB,Sea,APAC,90,0,-0.353,3,0.8303571428571428,0.07142857142857142,112,2024-08-24,-1,0
PO-0039079,SUP-0055,BR,Raw Materials,2025-03-24,2025-03-24,2025-04-09,16,319,52.44,16729.66,FOB,Sea,NA-West,45,0,1.892,7,0.8602150537634409,-0.17204301075268819,93,2025-04-05,-4,0
PO-0008034,SUP-0006,IN,Electronics,2024-12-11,2024-12-12,2024-12-19,7,173,86.9,15033.79,DDP,Rail,APAC,30,1,-1.132,3,0.75,3.986842105263158,76,2024-12-19,0,0
PO-0020705,SUP-0047,BR,Chemicals,2023-12-22,2023-12-23,2024-01-10,18,331,9.39,3106.44,FOB,Road,NA-West,90,0,-1.417,3,0.5217391304347826,16.057971014492754,69,2024-01-09,-1,0
PO-0036678,SUP-0027,PL,Electronics,2023-04-28,2023-04-28,2023-05-16,18,140,281.08,39351.75,FOB,Road,NA-West,30,0,0.143,2,0.75,1.2083333333333333,24,2023-05-26,10,1
PO-0038122,SUP-0062,BR,Electronics,2023-03-26,2023-03-29,2023-04-22,24,333,440.19,146584.92,DDP,Road,EU-East,90,0,1.105,1,0.8947368421052632,-1.8421052631578947,19,2023-04-20,-2,0
